compound_id	structure_issue	stereochemistry_issue	double_bond_issue	sugar_issue	acyl_chain_issue	source_conflict	recommended_action	reference_id	status	notes
PAPU-0031	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 1 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 5b; 12-ethyl ether.
PAPU-0033	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 1 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 5d; 12-iodopropyl ether.
PAPU-0034	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 1 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 5e; 12-p-nitrobenzyl ether and synthetic protecting intermediate.
PAPU-0035	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 1 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 5f; 12-OCH2COCH3 derivative.
PAPU-0036	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 1 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 5h; 12-OCH2COOCH3 derivative.
PAPU-0038	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 1 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 6d; 10-12-di-iodopropyl ether.
PAPU-0039	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 1 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 6e; 10-12-di-p-nitrobenzyl ether.
PAPU-0040	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 1 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 6f; 10-12-di-OCH2COCH3 derivative.
PAPU-0041	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 1 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 6g; 10-12-di-OCH2COOH derivative.
PAPU-0042	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 1 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 6h; 10-12-di-OCH2COOCH3 derivative.
PAPU-0043	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 1 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 8a; 10-methyl ether.
PAPU-0044	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 1 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 8i; 10-OCH2COOCH2CH3 derivative.
PAPU-0045	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 1 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 8l; 10-OCH2CONH2 derivative.
PAPU-0046	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 1 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 8m; 10-OCH2CONHCH3 derivative.
PAPU-0047	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 1 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 8n; 10-OCH2CON(CH3)2 derivative.
PAPU-0048	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 1 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 8o; 10-OCH2CO-thienyl derivative.
PAPU-0049	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 9; 11-13-dimorpholinomethylene derivative.
PAPU-0050	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 10a; 11-dimethylaminomethylene plus 12-OCH3 derivative.
PAPU-0051	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 11a; 11-morpholinomethylene derivative.
PAPU-0052	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 11b; 11-piperidinomethylene derivative.
PAPU-0053	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 3 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 13c; 11-NH2 plus 10-OCH3 derivative.
PAPU-0054	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 3 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 15b; 11-methanesulfonamido derivative.
PAPU-0055	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 3 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus NO.4 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 15c; 11-amino-imidazolidone derivative.
PAPU-0056	Synthetic intermediate listed in NO.4 but full machine-readable structure not curated	partial from Table 4 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus glucose 6-tosyl substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 16; glucose 6-tosyl intermediate.
PAPU-0057	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 4 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus glucose 6 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 17a; glucose 6-azido derivative.
PAPU-0058	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 4 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus glucose 6 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 17e; glucose 6-N-methylpiperazinyl derivative.
PAPU-0059	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 4 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus glucose 6 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 17f; glucose 6-N-formylpiperazinyl derivative.
PAPU-0060	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 4 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus glucose 6 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 17g; glucose 6-N-methylthiotetrazolinyl derivative.
PAPU-0061	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 4 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus glucose 6 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 18a; glucose 6-acetyl ester.
PAPU-0062	Substituent listed in NO.4 but full machine-readable structure not curated	partial from Table 4 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus glucose 6 substituent and verify exact MW	PAPER-1987-TRAXLER	open	NO.4 compound 18b; glucose 6-succinyl ester.
PAPU-0063	Structure drawing labeled compound 1 gives a drawn structure but full machine-readable structure is not curated	partial from structure drawing labeled 1	double-bond geometry and full stereochemical transcription need manual confirmation	disaccharide-like papulacandin core shown in structure drawing labeled 1	two unsaturated acyl residues shown but chain annotations need manual transcription	none. NO.15 states the earlier L-687781 assignments for C-2' and C-3' in the galactose moiety are likely incorrect	Build full isomeric SMILES from the NO.7 structure drawing labeled compound 1 and verify exact mass against reported FAB-MS MW 902. Recheck L-687781 sugar assignments against Okada 1996 before final SMILES	PAPER-1991-VANMIDDLESWORTH;PAPER-1992-BARTIZAL;PAPER-1996-OKADA	open	NO.7 compound L-687781; NO.7 Fig. 1 is the Dictyochaeta morphology figure, while the chemical structure is the drawing labeled compound 1. NO.8 repeats the structure in comparative Fig. 1 but adds no new machine-readable structure or stereochemical resolution. NO.15 provides a cross-check warning on prior L-687781 NMR assignments around C-2'/C-3'
PAPU-0064	Structure drawing and spectral assignment available but machine-readable structure not curated	partial from Fig. 7; full core stereochemistry needs manual transcription	all acyl-chain double bonds reported as Z but should be verified during SMILES transcription	two sugar moieties shown; exact sugar identity not explicitly named in this paper	C10 triene acyl chain and C16 polyunsaturated acyl chain need manual transcription from Fig. 7	none	Build full isomeric SMILES from Fig. 7 and verify formula C45H58O16 and exact mass 854.3725	PAPER-1993-AOKI	open	NO.9 compound BU-4794F; Fig. 7 compares it with L-687781 and assigns novel acyl side chains.
PAPU-0065	Structure drawing and physicochemical data available but full machine-readable structure not curated	partial from Fig. 1; structure determination is stated to be in following paper	double-bond geometry requires structure-paper confirmation	two sugar moieties shown but exact sugar identity still needs review	C8 short side chain explicitly discussed; full acyl-chain geometry needs manual transcription	synonym assignment Papulacandin M / BU-4785F / Mer-WF3010 should be reviewed against structure paper	Curate the following structure-determination paper or manually transcribe Kaneto 1993 Fig. 1 before generating isomeric SMILES. Review Agudelo-Restrepo 2026 Figure 4 and Table 4 during manual structure/activity reconciliation	PAPER-1993-AOKI;PAPER-1993-KANETO;PAPER-2026-AGUDELORESTREPO	open	NO.10 upgrades prior Papulacandin M reference row with Mer-WF3010 formula C45H60O16 MW 856 and Fig. 1 structure; no SMILES yet. Agudelo-Restrepo 2026 re-isolated Mer-WF3010 from Garciamycella chlamydospora and reported strong C. albicans DSM 1665 activity
PAPU-0066	NO.16 shows Fusacandin A structure and describes it as a trisaccharide analog, but full machine-readable structure is not curated	partial from NO.16 structure; C-7''' S absolute stereochemistry is stated in note 7; full stereochemical SMILES needs manual transcription	C-3 and C-6' side-chain olefin geometry should be checked during SMILES transcription	trisaccharide core with an additional galactose beta-1,2 to the existing galactose	C-3 and C-6' side chains are less substituted than Papulacandin B and need manual encoding	none	Build full isomeric SMILES from the NO.16 structure and verify against the companion structure paper before structure-based modeling	PAPER-1995-JACKSON;PAPER-1996-YEUNG	open	NO.12 paper I supports biological/fermentation curation for Fusacandin A but not machine-readable structure. NO.16 upgrades Fusacandin A from biology-only to partial structure context; still not machine-readable.
PAPU-0067	NO.16 identifies Fusacandin B as the C-6' deacylated congener but full machine-readable structure is not curated	partial by inheritance from Fusacandin A core; full stereochemical SMILES needs manual transcription	remaining C-3 side-chain olefin geometry should be checked during SMILES transcription	fusacandin trisaccharide core should be manually encoded	C-6' side chain absent/deacylated relative to Fusacandin A; C-3 side chain retained	none	Build Fusacandin B SMILES from Fusacandin A core after removing the C-6' acyl side chain; verify against companion structure paper	PAPER-1995-JACKSON;PAPER-1996-YEUNG	open	NO.12 paper I supports biological/fermentation curation for Fusacandin B as a minor congener but not machine-readable structure. NO.16 Table 1 directly links C-6' side-chain loss to weak MIC activity.
PAPU-0068	Structure shown in Fig. 1 and supported by NMR/MS but full machine-readable structure is not curated	partial from Fig. 1; full core stereochemistry needs manual transcription	long C16 acyl chain olefins assigned trans; cinnamyl ester trans; verify all E/Z labels during SMILES transcription	papulacandin-type glycoside core shown; exact sugar identity should be checked during structure transcription	C3 C16 hydroxy tetraenoic acyl chain and C6' trans-cinnamyl ester need manual SMILES transcription	none	Build full isomeric SMILES from Fig. 1 and verify neutral formula C44H54O16 against HRFAB-MS [M+H]+ m/z 839.3499	PAPER-1996-CHEN	open	NO.13 is a structure and biological activity short paper; sufficient for side-chain SAR annotation but not yet machine-readable modeling input.
