sar_id,compound_id,parent_compound_id,modification,site,effect_on_enzyme_activity,effect_on_mic,effect_on_in_vivo,effect_on_solubility_or_exposure,hypothesis,evidence_level,text_quote,reference_id,source_table_or_figure,curation_status,curator_note
SAR-1979-BAGULEY-005,PAPU-0002,,cell wall barrier,target exposure,improved,unknown,unknown,improved,Spheroplast assays suggest higher apparent sensitivity than intact-cell assays,curated_infer,S. cerevisiae ED50 changes from 5 to 0.16 ug/ml and C. albicans from 0.5 to 0.03 ug/ml.,PAPER-1979-BAGULEY,Table 2,curated,Interpret as exposure or barrier context rather than a new compound property.
SAR-1979-BAGULEY-006,PAPU-0002,,cross-resistance,glucan synthesis pathway,unknown,unknown,unknown,unknown,Echinocandin B appears to share a related glucan-synthesis inhibitory phenotype,direct_data,CA2 is cross-resistant to echinocandin B and echinocandin B selectively inhibits glucan synthesis in spheroplasts.,PAPER-1979-BAGULEY,Methods and Fig. 5,curated,Mechanism-family context for later echinocandin comparison.
SAR-1983-ROMMELE-001,PAPU-0010,PAPU-0009,long fatty acid removal,long_acyl,abolished,abolished,unknown,unknown,The long fatty acid residue is required for target-site glucan-synthesis inhibition,direct_data,Degradation product I has ED50 0.3 ug/ml but product II is >5 ug/ml and MIC >128 ug/ml.,PAPER-1983-ROMMELE,Table 1 and Conclusions,curated,Compare paper compounds 8 and 9; this is one of the strongest SAR anchors in NO.3.
SAR-1983-ROMMELE-002,PAPU-0009,PAPU-0002,short fatty acid removal,short_acyl,retained,abolished,unknown,decreased,The short fatty acid is not essential for glucan ED50 but is important for whole-cell MIC,direct_data,Degradation product I has ED50 0.3 ug/ml and MIC >128 ug/ml.,PAPER-1983-ROMMELE,Fig. 3 and Table 1,curated,Interpreted as target activity retained but target access or whole-cell conversion impaired.
SAR-1983-ROMMELE-003,PAPU-0004,PAPU-0002,galactose and short fatty acid removal,galactose,retained,decreased,unknown,mixed,Neither the short fatty acid nor galactose is essential for biological activity at the target site,direct_data,Papulacandin D lacks short fatty acid and galactose but has ED50 0.13 ug/ml and MIC 1-2 ug/ml.,PAPER-1983-ROMMELE,Fig. 2; Table 1; Conclusions,curated,Papulacandin D remains active and is proposed as a simplified starting material.
SAR-1983-ROMMELE-004,PAPU-0006,PAPU-0002,hydrogenation of fatty acids,long_acyl,decreased,abolished,unknown,decreased,Hydrogenation of fatty acid residues reduces activity and strongly weakens whole-cell MIC,direct_data,Tetradecahydropapulacandin B has ED50 0.6 ug/ml and MIC >128 ug/ml.,PAPER-1983-ROMMELE,Table 1 and Conclusions,curated,Octahydropapulacandin D also shows weaker ED50 and MIC than Papulacandin D.
SAR-1983-ROMMELE-005,PAPU-0008,PAPU-0002,nona-acetylation,multiple,abolished,abolished,unknown,decreased,Nona-acetylation of Papulacandin B abolishes measurable activity,direct_data,Papulacandin B nona-acetate has ED50 >5 ug/ml and MIC >128 ug/ml.,PAPER-1983-ROMMELE,Table 1,curated,Likely combines target-binding and exposure effects; do not over-interpret mechanism from acetylation alone.
SAR-1983-ROMMELE-006,PAPU-0012,PAPU-0002,glucose 6 substitution,glucose6,retained,retained,unknown,unknown,Glucose position 6 substitutions are generally tolerated,curated_infer,Compounds 11-14 show ED50 0.2-0.5 ug/ml and MIC 0.2-2 ug/ml.,PAPER-1983-ROMMELE,Table 2,curated,Series-level rule based on compounds 11-14.
SAR-1983-ROMMELE-007,PAPU-0020,PAPU-0002,aromatic 10-O substitution,10O,retained,retained,unknown,unknown,Several aromatic position 10 substitutions preserve activity,curated_infer,Compounds 19 and 21-23 show ED50 0.1-0.5 ug/ml and MIC 0.2-0.5 ug/ml.,PAPER-1983-ROMMELE,Table 2,curated,Position 10 appears more permissive than bulky 12-O substitution in this set.
SAR-1983-ROMMELE-008,PAPU-0018,PAPU-0002,larger aromatic 12-O substitution,12O,decreased,decreased,unknown,unknown,Larger substituents at aromatic position 12 reduce glucan-synthesis and whole-cell activity,direct_data,Compound 17 has ED50 2 ug/ml and MIC 12 ug/ml; compound 18 has ED50 >5 and MIC >128 ug/ml.,PAPER-1983-ROMMELE,Table 2 and Results,curated,The paper explicitly contrasts larger 12 substituents with smaller methyl substitution.
SAR-1983-ROMMELE-009,PAPU-0025,PAPU-0002,aromatic 11 substitution,11N,decreased,mixed,unknown,unknown,Substitutions at aromatic position 11 tend to reduce biological activity,curated_infer,Compounds 24-29 show ED50 0.2-3 ug/ml and MIC 0.2-6 ug/ml.,PAPER-1983-ROMMELE,Table 2 and Results,curated,Effect is not uniform; preserve individual activity rows for modeling.
SAR-1983-ROMMELE-010,PAPU-0004,PAPU-0002,simplification,start_material,retained,decreased,unknown,unknown,Papulacandin D is a useful simplified scaffold for further modification,weak_infer,Papulacandin D retains ED50 0.13 ug/ml and MIC 1-2 ug/ml while lacking short fatty acid and galactose.,PAPER-1983-ROMMELE,Conclusions,curated,This is a design implication stated by the paper rather than a direct synthetic route.
SAR-1987-TRAXLER-001,PAPU-0002,,class translational gap,whole molecule,unknown,strong,decreased,unknown,Papulacandins can show strong serum-free Candida activity but weak in vivo translation,direct_data,Papulacandin B MIC 0.05 ug/mL and ED50 80 mg/kg; paper states high in vitro activity but weaker in vivo,PAPER-1987-TRAXLER,Abstract and Table 1,curated,Use this row to avoid the wrong shorthand that Papulacandins are cell-inactive.
SAR-1987-TRAXLER-002,PAPU-0020,PAPU-0002,10-O oxypropyl ether,10O,unknown,retained,improved,unknown,Polar 10-O ether can improve in vivo activity without losing Candida MIC,direct_data,Compound 8f has MIC 0.1 ug/mL and ED50 30 mg/kg; discussion states it is about three times as active as Papulacandin B,PAPER-1987-TRAXLER,Table 1 and Discussion,curated,8f is one of the clearest early leads for improving the in vivo gap.
SAR-1987-TRAXLER-003,PAPU-0043,PAPU-0002,10-O alkyl ether versus 12-O alkyl ether,10O/12O,unknown,retained,mixed,unknown,Position 10 is more permissive than position 12 for O-alkylation,curated_infer,10-O derivative 8a has MIC 0.2 ug/mL while 12-O derivative 5a has MIC 0.4 ug/mL; discussion favors 10 over 12,PAPER-1987-TRAXLER,Table 1 and Discussion,curated,Keep as a site-level rule and preserve individual rows because in vivo values vary strongly by substituent.
SAR-1987-TRAXLER-004,PAPU-0018,PAPU-0002,larger 12-O alkyl ether,12O,unknown,decreased,decreased,unknown,Increasing 12-O alkyl size reduces Candida MIC and in vivo efficacy,direct_data,Compound 5c has MIC 12.5 ug/mL and ED50 >300 mg/kg,PAPER-1987-TRAXLER,Table 1,curated,This extends the NO.3 12-O rule into the NO.4 in vivo dataset; NO.4 compound 5c is merged with NO.3 PAPU-0018.
SAR-1987-TRAXLER-005,PAPU-0019,PAPU-0002,10-12-di-O alkyl ether,10O/12O,unknown,abolished,unknown,unknown,Large 10-12-diethers are often poor for Candida whole-cell activity,direct_data,Compound 6c has MIC >100 ug/mL and no useful ED50 reported,PAPER-1987-TRAXLER,Table 1,curated,The di-O series should not be treated as equivalent to tolerated single 10-O substitution; NO.4 compound 6c is merged with NO.3 PAPU-0019.
SAR-1987-TRAXLER-006,PAPU-0049,PAPU-0002,11-13-dimorpholinomethylene substitution,11N/13N,unknown,abolished,decreased,unknown,11-aminomethylene style substitution does not solve in vivo efficacy and can reduce MIC,direct_data,Compound 9 has MIC >100 ug/mL and ED50 >300 mg/kg,PAPER-1987-TRAXLER,Table 2 and Discussion,curated,This rule is distinct from 11-aminoacyl derivatives which behave better.
SAR-1987-TRAXLER-007,PAPU-0055,PAPU-0002,11-aminoacyl imidazolidone derivative,11N,unknown,retained,improved,unknown,Selected 11-aminoacyl derivatives can improve in vivo activity while keeping useful Candida MIC,direct_data,Compound 15c has MIC 0.5 ug/mL and ED50 14 mg/kg; discussion states it is five times more active than Papulacandin B,PAPER-1987-TRAXLER,Table 3 and Discussion,curated,15c is the best NO.4 in vivo derivative in the current curated set.
SAR-1987-TRAXLER-008,PAPU-0058,PAPU-0002,glucose 6 N-methylpiperazinyl substitution,glucose6,unknown,decreased,improved,unknown,Glucose position 6 substitution is possible but only selected cationic substitutions show useful in vivo activity,direct_data,Compound 17e has MIC 1 ug/mL and ED50 55 mg/kg,PAPER-1987-TRAXLER,Table 4 and Discussion,curated,Most other glucose-6 substitutions in Table 4 are less useful in vivo.
SAR-1987-TRAXLER-009,PAPU-0062,PAPU-0002,glucose 6 succinyl ester,glucose6,unknown,decreased,decreased,improved,Improved water solubility alone is not enough to restore in vivo efficacy,direct_data,Compound 18b has MIC 0.5 ug/mL and ED50 220 mg/kg; discussion notes weak in vivo effect despite water solubility,PAPER-1987-TRAXLER,Table 4 and Discussion,curated,Useful caution for design work focused only on polarity or solubility.
SAR-1987-TRAXLER-010,PAPU-0002,,spectrum limitation,whole series,unknown,Candida selective,unknown,unknown,Derivative optimization in this paper did not broaden the antifungal spectrum beyond Candida,review_summary,Authors state that no derivative had a wider spectrum including fungi other than Candida albicans,PAPER-1987-TRAXLER,Discussion,curated,Broader spectrum MIC columns were not expanded in v0.1 but the qualitative conclusion is captured here.
SAR-1991-FONTDEMORA-001,PAPU-0002,,ACR1 ACR3 ACR4 resistance,yeast_cell_surface,unchanged,decreased_susceptibility,unknown,reduced_accessibility,ACR1 ACR3 and ACR4 functions are needed for Papulacandin B whole-cell sensitivity,direct_data,LMF101 LMF105 and LMF106 have Papulacandin B MIC 50 ug/mL versus OL1 MIC 2.5 ug/mL,PAPER-1991-FONTDEMORA,Table 1 and Discussion,curated,Mechanism annotation not chemical SAR; useful for separating target inhibition from cell access.
SAR-1991-FONTDEMORA-002,PAPU-0002,,ACR2 specificity,yeast_cell_surface,unchanged,retained_susceptibility,unknown,unknown,ACR2 affects aculeacin A sensitivity but not Papulacandin B sensitivity,direct_data,LMF102 LMF103 and LMF104 have Papulacandin B MIC 2.5 ug/mL while aculeacin A MIC is 50 to >100 ug/mL,PAPER-1991-FONTDEMORA,Table 1 and Discussion,curated,This separates common echinocandin-like entry steps from Papulacandin B-specific behavior.
SAR-1991-FONTDEMORA-003,PAPU-0002,,S cerevisiae extract enzyme assay,enzyme_assay_context,no_inhibition_observed,active_in_whole_cell,unknown,assay_system_dependent,Conventional S. cerevisiae glucan synthase extract assay may miss Papulacandin B whole-cell sensitivity,direct_data,Papulacandin B up to 20 ug/mL did not have an inhibitory effect in vitro,PAPER-1991-FONTDEMORA,Results text and Table 4,curated,Do not merge this endpoint with Candida spheroplast glucan synthesis ED50 without an assay-context feature.
SAR-1991-FONTDEMORA-004,PAPU-0002,,protoplast sensitivity,cell_wall_access,unknown,restored_susceptibility,unknown,increased_accessibility,Loss of whole-cell susceptibility in acr mutants likely involves cell-surface accessibility rather than altered synthase,direct_data,Protoplasts from the four acr mutants were sensitive to aculeacin A and papulacandin B,PAPER-1991-FONTDEMORA,Results and Discussion,curated,Supports the project framing that cell access and assay context matter.
SAR-1991-FONTDEMORA-005,PAPU-0002,,Papulacandin B versus aculeacin cross-resistance,resistance_mechanism,unknown,mixed,unknown,unknown,Papulacandin B and aculeacin A share some entry or action steps but also have compound-specific steps,direct_data,Of 15 Papulacandin B-resistant mutants 10 were also resistant to aculeacin A while 5 remained susceptible,PAPER-1991-FONTDEMORA,Discussion,curated,Useful comparator logic for later FKS1 inhibitor resistance interpretation.
SAR-1991-RIBAS-001,PAPU-0002,,S pombe wild-type enzyme inhibition,enzyme_assay_context,inhibited,unknown,unknown,assay_system_dependent,Papulacandin B strongly inhibits S pombe wild-type glucan synthase in vitro at 50 ug/mL,direct_data,Wild-type 972 h- retained 11.9% activity at 37 C and 8.9% activity at 30 C with Papulacandin B 50 ug/mL,PAPER-1991-RIBAS,Table 6,curated,Contrasts with the NO.5 S cerevisiae extract negative result and shows why species and assay system must stay separate.
SAR-1991-RIBAS-002,PAPU-0002,,cwg1-1 inhibitor resistance,cwg1 locus,decreased_susceptibility,unknown,unknown,altered_enzyme_component,cwg1-1 grown at restrictive temperature gives a Papulacandin B-resistant glucan synthase phenotype,direct_data,cwg1-1 grown at 37 C retained 73.3% activity with Papulacandin B while wild type retained 11.9%,PAPER-1991-RIBAS,Table 6 and Discussion,curated,Mechanism annotation not chemical SAR; likely reflects altered particulate or membrane-associated enzyme component.
SAR-1991-RIBAS-003,PAPU-0002,,cwg1-1 temperature dependence,cwg1 locus,inhibited_at_permissive_temperature,unknown,unknown,temperature_dependent_background,cwg1-1 resistance to Papulacandin B appears at 37 C but not at 30 C,direct_data,cwg1-1 retained 15.6% activity at 30 C but 73.3% activity at 37 C with Papulacandin B 50 ug/mL,PAPER-1991-RIBAS,Table 6,curated,This is a genotype-by-growth-temperature effect and should not be treated as compound potency change.
SAR-1991-RIBAS-004,PAPU-0002,,cwg2-1 sensitivity retained,cwg2 locus,inhibited,unknown,unknown,soluble_component_defect,cwg2-1 has reduced glucan synthase activity but remains Papulacandin B-sensitive,direct_data,cwg2-1 grown at 37 C retained 14.3% activity with Papulacandin B 50 ug/mL,PAPER-1991-RIBAS,Table 6 and Table 5,curated,Reconstitution experiments indicate cwg2-1 affects the soluble component rather than the Papulacandin B-resistant phenotype.
SAR-1991-RIBAS-005,PAPU-0002,,cwg1 pap1 genetic proximity,cwg1 and pap1 loci,unknown,unknown,unknown,possible_resistance_locus_context,cwg1 maps very close to the Papulacandin B-resistant pap1 locus but complementation suggests different mutations,direct_data,cwg1 was strongly linked to pap1 and complementation between pap1-8 and cwg1-1 indicated different mutations,PAPER-1991-RIBAS,Genetic mapping and Discussion,curated,Useful for later resistance-genetics interpretation but not proof that cwg1 is the Papulacandin B target.
SAR-1991-VANMIDDLESWORTH-001,PAPU-0063,,new papulacandin-family natural product,whole molecule,strong,strong Candida selective,mixed,unknown,L-687781 preserves Papulacandin-like beta-1-3-glucan synthase inhibition and Candida MIC,direct_data,L-687781 MIC is 1 to 2 ug/mL for most Candida strains and glucan synthesis IC50 is about 0.5 uM,PAPER-1991-VANMIDDLESWORTH,Table 1 and Fig. 3,curated,Use as a distinct natural product scaffold not as a Papulacandin B derivative.
SAR-1991-VANMIDDLESWORTH-002,PAPU-0063,,Candida selective spectrum,whole organism,unknown,Candida selective,unknown,unknown,L-687781 has strong Candida activity but weak activity against Cryptococcus and C. guilliermondii,direct_data,L-687781 MIC values are 1 to 2 ug/mL for most Candida strains but >128 ug/mL for C. guilliermondii and Cryptococcus neoformans,PAPER-1991-VANMIDDLESWORTH,Table 1 and Results,curated,Paper also states inactive against bacteria and filamentous fungi but those data were not shown.
SAR-1991-VANMIDDLESWORTH-003,PAPU-0063,,Candida mouse translation gap,in_vivo_translation,strong,strong,decreased,unknown,Potent Candida MIC and target inhibition do not guarantee systemic Candida mouse efficacy,direct_data,L-687781 was active in vitro but treatment up to 10 mg/kg produced no significant efficacy in the C. albicans mouse model,PAPER-1991-VANMIDDLESWORTH,Results text,curated,This directly supports the serum exposure PK and in vivo translation framing.
SAR-1991-VANMIDDLESWORTH-004,PAPU-0063,,Pneumocystis in vivo activity,infection_model,strong,unknown,improved,unknown,L-687781 can show in vivo activity in the rat PCP model despite weak Candida mouse efficacy,direct_data,L-687781 reduced P. carinii cyst burden by 72.6 to 83.5 percent at active doses in Table 2,PAPER-1991-VANMIDDLESWORTH,Table 2,curated,Model and pathogen context strongly affect apparent in vivo utility.
SAR-1991-VANMIDDLESWORTH-005,PAPU-0063,,fermentation accessibility,production,unknown,unknown,unknown,fermentable_natural_product,Dictyochaeta simplex fermentation can produce L-687781 at preparative scale,direct_data,Fermentation reached about 105 mg/L at 192 h and most compound was mycelial bound,PAPER-1991-VANMIDDLESWORTH,Fermentation and Isolation,curated,Production note for practical prioritization rather than chemical SAR.
SAR-1992-BARTIZAL-001,PAPU-0063,,enzyme potency versus Candida TOKA translation gap,whole molecule,strong,Candida active in broth,poor in Candida TOKA,unknown,Strong C. albicans glucan synthase inhibition and broth MIC/MFC do not predict systemic Candida efficacy for L-687781 in TOKA,direct_data,L-687781 had IC50 0.16 uM but was ineffective at all concentrations tested in the TOKA.,PAPER-1992-BARTIZAL,Results text; Table 3,curated,This is the cleanest NO.8 support for the corrected framing: cell MIC can be good while Candida in vivo translation is poor.
SAR-1992-BARTIZAL-002,PAPU-0063,,lower enzyme IC50 but higher Candida MFC than echinocandin comparators,whole molecule,strong,similar Candida MIC,poor in Candida TOKA,unknown,Target potency alone is not sufficient; killing and in vivo efficacy differ between papulacandin and echinocandin scaffolds,direct_data,The papulacandin showed the lowest IC50 but displayed higher MFCs for the Candida species than did echinocandins.,PAPER-1992-BARTIZAL,Results and Discussion,curated,"Use as scaffold-class comparison, not a within-papulacandin substituent SAR claim."
SAR-1992-BARTIZAL-003,PAPU-0063,,Candida-selective spectrum with Cryptococcus inactivity,organism context,unknown,Candida selective,not evaluated for Cryptococcus in vivo,unknown,"L-687781 activity is organism dependent, with Candida activity but weak Cryptococcus whole-cell activity",direct_data,The lipopeptides and the papulacandin L-687781 were inactive in vitro against the C. neoformans strains tested.,PAPER-1992-BARTIZAL,Table 1 and Discussion,curated,"The authors discuss glucan-linkage composition as a possible explanation; keep it as mechanistic context, not proof."
SAR-1992-BARTIZAL-004,PAPU-0063,,unmeasured PK and protein-binding liability,exposure context,strong,active in vitro,poor in Candida TOKA,unknown,"Poor Candida in vivo efficacy may involve PK bioavailability metabolism excretion or protein binding, but this paper does not measure those parameters",review_summary,"Since pharmacokinetics and protein binding studies have not been conducted with papulacandin L-687781, whether these parameters contributed remains to be determined.",PAPER-1992-BARTIZAL,Discussion,curated,"Important caveat: record as a hypothesis/unknown, not as proven serum binding or PK failure."
SAR-1993-AOKI-001,PAPU-0064,PAPU-0063,BU-4794F acyl side-chain variant versus L-687781,C10 and C16 acyl side chains,strong,improved Candida MIC versus Papulacandin B/M comparators,unknown,unknown,"BU-4794F keeps the L-687781-like papulacandin core but changes both acyl side chains, with potent Candida MIC and beta-1,3-glucan synthase inhibition",direct_data,Both compounds give very similar carbon signals in the spirocyclic core and two sugars moieties; major differences were observed in the two acyl side chains.,PAPER-1993-AOKI,Structural Studies; Table 4,curated,Treat as family-level SAR; exact causal contribution of each acyl-chain change is not separated.
SAR-1993-AOKI-002,PAPU-0064,PAPU-0002,BU-4794F compared with Papulacandin B and M,whole molecule/acyl side chains,unknown,improved in Candida panel,unknown,unknown,BU-4794F shows lower MIC values than Papulacandin B and M against the tested Candida strains,direct_data,"The MIC values of BU-4794F against Candida strains are comparable to those of amphotericin B, but lower than those of papulacandins B and M.",PAPER-1993-AOKI,Table 4 and Antifungal Activity text,curated,This is a direct potency comparison under one broth microdilution condition.
SAR-1993-AOKI-003,PAPU-0064,,Candida and yeast selective spectrum,organism context,strong,Candida/yeast active but Cryptococcus and Aspergillus inactive,unknown,unknown,"BU-4794F is narrow spectrum, active against tested yeasts/Candida but inactive against Cryptococcus neoformans and Aspergillus fumigatus",direct_data,BU-4794F exhibits potent inhibitory activity against yeasts but is inactive against filamentous fungi and Cryptococcus neoformans.,PAPER-1993-AOKI,Table 4 and Antifungal Activity text,curated,Aspergillus was represented by A. fumigatus IAM2034 only in this table.
SAR-1993-AOKI-004,PAPU-0064,,water insolubility exposure caveat,physicochemical property,unknown,strong in vitro,not tested,poor_water_solubility,"BU-4794F is practically insoluble in water, so formulation/exposure should be checked before assuming in vivo translation",direct_data,It was soluble in lower alcohols and dimethyl sulfoxide ... but practically insoluble in hexane and water.,PAPER-1993-AOKI,Physico-chemical Properties,curated,This paper has no in vivo efficacy or serum/protein-binding data.
SAR-1993-KANETO-001,PAPU-0065,PAPU-0002,C8 short side chain in Mer-WF3010,short acyl side chain,unknown,retained Candida activity,unknown,unknown,A C8 short fatty-acid side chain is sufficient for strong Candida whole-cell activity in this papulacandin-family member,direct_data,"The short side chain fatty acid of Mer-WF3010 is shorter than that of any other known papulacandin, but the activity against Candida is as high as that of papulacandin B.",PAPER-1993-KANETO,Discussion and Table 2,curated,Important side-chain length SAR; enzyme inhibition was not measured directly in this paper.
SAR-1993-KANETO-002,PAPU-0065,,growth-state-dependent fungicidal activity,cell growth state,unknown,fungicidal in growing cells,not tested,unknown,"Mer-WF3010 killing depends on fungal growth state, consistent with cell-wall synthesis targeting",direct_data,"Mer-WF3010 is fungicidal to growing cells of Candida albicans, but is inactive on resting cells.",PAPER-1993-KANETO,Fig. 3 and Biological Activity text,curated,Treat as mode-of-action context; not a quantified MIC endpoint.
SAR-1993-KANETO-003,PAPU-0065,,Candida-selective spectrum,organism context,unknown,Candida active but Cryptococcus and Aspergillus inactive,unknown,unknown,Mer-WF3010 shows Candida activity with weak activity against Cryptococcus and Aspergillus in Table 2,direct_data,"Mer-WF3010 has potent antifungal activity against Candida sp., being about as active as papulacandin B.",PAPER-1993-KANETO,Table 2 and Biological Activity text,curated,Table 2 reports >40 ug/mL for Cryptococcus neoformans and Aspergillus fumigatus.
SAR-1993-KANETO-004,PAPU-0065,,acute tolerability observation,in vivo tolerability,unknown,unknown,no toxic symptoms at 1000 mg/kg,unknown,"Mer-WF3010 had no observed acute toxic symptoms after high-dose intraperitoneal administration, but efficacy and PK were not evaluated",direct_data,Mer-WF3010 did not produce any toxic symptoms in mice at a dose of 1000 mg/kg when administered intraperitoneally.,PAPER-1993-KANETO,Biological Activity text,curated,Do not interpret this as efficacy or exposure proof.
SAR-1995-JACKSON-001,PAPU-0066,PAPU-0067,Fusacandin A versus Fusacandin B potency,whole molecule/congener difference,Fusacandin A stronger,Fusacandin A much stronger than Fusacandin B in Table 1 and Table 2,not tested,unknown,Fusacandin B is a weaker minor congener while Fusacandin A is the main active congener,direct_data,Fusacandin A is considerably more active than fusacandin B.,PAPER-1995-JACKSON,Biological Activity; Table 1; Table 2,curated,Do not infer the structural driver until companion structure paper is curated.
SAR-1995-JACKSON-002,PAPU-0066,PAPU-0002,50% mouse serum activity loss,serum/exposure context,unknown,MIC shifts to >100 ug/mL in 50% mouse serum,not tested,serum_shift_liability,Fusacandin A and Papulacandin B both lose apparent activity in 50% mouse serum under this assay condition,direct_data,The MICs of both fusacandin A and papulacandin B are greatly increased.,PAPER-1995-JACKSON,Table 1; Biological Activity,curated,This directly supports the user-corrected framing: serum-free activity can be reasonable while serum activity drops strongly.
SAR-1995-JACKSON-003,PAPU-0066,PAPU-0002,glucan synthase and whole-cell beta-glucan labeling,target engagement,Fusacandin A inhibits GS but less than Papulacandin B,retains Candida MIC in no-serum broth,not tested,unknown,Fusacandin A has target-linked beta-glucan synthesis inhibition by enzyme curve and whole-cell radiolabeling,direct_data,"Fusacandin A was shown by two methods to be an inhibitor of (1,3)-beta-glucan synthesis.",PAPER-1995-JACKSON,Fig. 6; Table 3; Conclusion,curated,Fig. 6 lacks tabulated IC50; keep enzyme values approximate and emphasize direction.
SAR-1995-JACKSON-004,PAPU-0066,PAPU-0002,sorbitol protection phenotype,cell wall target context,unknown,MIC antagonized by sorbitol,not tested,unknown,Osmotic protection by sorbitol supports a fungal cell-wall target for Fusacandin and Papulacandin B activity,direct_data,The presence of sorbitol antagonized the inhibition of Candida albicans.,PAPER-1995-JACKSON,Table 2; Biological Activity,curated,Cilofungin and amphotericin B controls were not curated as compounds under the Papulacandin-only v0.1 boundary.
SAR-1996-CHEN-001,PAPU-0068,PAPU-0069,"C6' cinnamyl ester versus 2E,4Z-decadienoic ester",C6' short acyl side chain,Saricandin much weaker GS IC50 than PF-1042,Saricandin weaker Candida CCH 442 MIC than PF-1042,not tested,unknown,The C6-prime short acyl side chain identity strongly affects whole-cell and enzyme potency in this matched papulacandin pair,direct_pairwise_data,The activity of saricandin was weaker.,PAPER-1996-CHEN,Fig. 1; Table 2; Biological Activity text,curated,"Pair is structurally close by Fig. 1, but still treat this as literature-derived SAR inference rather than a designed single-site analog experiment."
